x,y,film1,film2
0,0,13160.35,12422.31
5.972,48.635,12882.23,12082.12
38.613,30.167,12890.42,12119.44
48.635,-5.972,12931.18,12119.44
30.167,-38.612,13041.48,12245.81
-5.971,-48.635,13341.15,12369.82
-38.612,-30.168,13366.49,12490.94
-48.635,5.971,13077.38,12444.87
-30.168,38.612,12944.56,12201.09
11.943,97.27,12447.08,11568.03
48.257,85.295,12323.79,11708.35
77.225,60.335,12309.12,11755.05
94.436,26.189,12459.27,11807.72
97.27,-11.943,12464.37,11916.21
85.295,-48.257,12427.21,11831.72
60.335,-77.225,12486.83,11730.19
26.19,-94.436,12863.08,11773.93
-11.943,-97.27,13159.21,11985.75
-48.257,-85.295,13253.86,12093.27
-77.225,-60.335,13026.28,12213.64
-94.436,-26.19,12852.77,12280.52
-97.27,11.943,12582.57,12318.73
-85.295,48.257,12459.59,12082.62
-60.335,77.225,12553.19,11720.94
-26.19,94.436,12553.55,11498.53
17.915,145.904,10630.43,10026.77
55.067,136.296,10507.04,10136.23
88.467,117.399,10469.89,10204.93
115.838,90.502,10567.96,10194.99
135.314,57.438,10670.04,10161.65
145.569,20.459,10817.3,10050.61
145.904,-17.915,10778.1,10064.17
136.296,-55.067,10715.29,9954.36
117.4,-88.467,10628.32,9650.29
90.502,-115.837,10526.91,9557.58
57.438,-135.314,10799.75,9718.49
20.459,-145.569,11542.62,9901.67
-17.914,-145.904,11880.24,10221.85
-55.067,-136.296,11966.81,10199.74
-88.466,-117.4,11877.8,10046.06
-115.837,-90.503,11438.26,10328.78
-135.314,-57.438,11158.11,10583.61
-145.569,-20.459,10969.66,10704.63
-145.904,17.914,10662.8,10821.92
-136.296,55.067,10524.08,10861.17
-117.4,88.466,10644.16,10527.79
-90.503,115.837,10782.69,10239.49
-57.438,135.314,10880.93,10126.58
-20.459,145.569,10840.79,10063.86
